stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Indian Ocean, Eastern Chacunda gizzard shad",1.1,0.97,1.82,1.65,full_ensemble,1.13
"Indian Ocean, Eastern Chocolate hind",0.97,0.91,1.65,1.55,full_ensemble,0.88
"Indian Ocean, Eastern Daggertooth pike conger",1.08,1.66,1.5,1.36,full_ensemble,1.13
"Indian Ocean, Eastern Dorab wolf-herring",0.41,0.68,0.57,1.18,full_ensemble,0.73
"Indian Ocean, Eastern False trevally",1.45,1.55,1.24,1.89,full_ensemble,1.01
"Indian Ocean, Eastern Giant tiger prawn",1.04,1.09,1.98,1.61,full_ensemble,1.21
"Indian Ocean, Eastern Great barracuda",0.51,0.92,1.4,1.18,full_ensemble,1.06
"Indian Ocean, Eastern Greater lizardfish",1.21,1.44,1.98,1.89,full_ensemble,1.09
"Indian Ocean, Eastern Indian mackerel",1.15,1.66,1.97,1.77,full_ensemble,1.24
"Indian Ocean, Eastern Indian oil sardine",1.6,0.88,0.16,1.35,full_ensemble,0.69
"Indian Ocean, Eastern Indian pellona",1.03,0.94,1.43,1.32,full_ensemble,1
"Indian Ocean, Eastern Indian scad",1.03,1.48,1.96,1.66,full_ensemble,1.2
"Indian Ocean, Eastern Indian spiny turbot",0.95,0.94,1.9,1.52,full_ensemble,1.32
"Indian Ocean, Eastern Indo-Pacific king mackerel",1.17,1.75,1.94,1.68,full_ensemble,1.02
"Indian Ocean, Eastern Indo-Pacific sailfish",0.92,1.02,1.96,1.55,full_ensemble,1.1
"Indian Ocean, Eastern Indo-Pacific swamp crab",1.17,0.61,1.08,1.56,full_ensemble,0.82
"Indian Ocean, Eastern Largehead hairtail",0.49,1.24,1.91,1.39,full_ensemble,0.8
"Indian Ocean, Eastern Longtail tuna",1.11,1.86,1.59,1.79,full_ensemble,1.17
"Indian Ocean, Eastern Mangrove red snapper",0.42,0.55,0.5,1.74,full_ensemble,0.54
"Indian Ocean, Eastern Narrow-barred Spanish mackerel",1.11,1.76,1.9,1.79,full_ensemble,0.96
"Indian Ocean, Eastern Orange roughy",0.24,0.77,1.54,1.26,full_ensemble,0.93
"Indian Ocean, Eastern Rainbow runner",1.08,0.95,1.81,1.59,full_ensemble,1.13
"Indian Ocean, Eastern Rainbow sardine",1.04,1.03,1.41,1.4,full_ensemble,1.02
"Indian Ocean, Eastern Red seabream",0.49,0.81,1.89,1.13,full_ensemble,1.07
"Indian Ocean, Eastern Silky shark",0.31,0.85,0.1,0.3,full_ensemble,0.72
"Indian Ocean, Eastern Silver pomfret",1.19,1.65,1.63,1.83,full_ensemble,1.23
"Indian Ocean, Eastern Silver sillago",0.45,0.8,1.97,1.11,full_ensemble,1.18
"Indian Ocean, Eastern Skipjack tuna",1.11,1.8,1.63,1.74,full_ensemble,1.06
"Indian Ocean, Eastern Southern bluefin tuna",0.43,0.63,0.92,1.48,full_ensemble,0.73
"Indian Ocean, Eastern Southern rock lobster",1.32,0.58,1.3,1.38,full_ensemble,1.17
"Indian Ocean, Eastern Striped marlin",0.51,0.8,1.97,0.92,full_ensemble,1.09
"Indian Ocean, Eastern Swordfish",0.9,0.91,1.16,1.13,full_ensemble,1.22
"Indian Ocean, Eastern Torpedo scad",1.18,1.72,1.96,1.77,full_ensemble,1.16
"Indian Ocean, Eastern Yellowfin tuna",1.03,1.27,1.02,1.55,full_ensemble,1.15
"Indian Ocean, Western Albacore",1.11,1.2,0.25,0.92,full_ensemble,1.43
"Indian Ocean, Western Atlantic blue marlin",0.44,0.91,0.67,1.55,full_ensemble,0.77
"Indian Ocean, Western Black pomfret",1.4,1.49,0.44,1.71,full_ensemble,1.31
"Indian Ocean, Western Blue swimming crab",1.18,0.91,1.4,1.48,full_ensemble,1
"Indian Ocean, Western Bluespot mullet",1.28,0.71,1.34,1.67,full_ensemble,1.25
"Indian Ocean, Western Bombay duck",1.19,1.25,1.7,1.47,full_ensemble,1.27
"Indian Ocean, Western Chub mackerel",0.32,0.59,0.91,1.01,full_ensemble,0.72
"Indian Ocean, Western Cobia",1.15,1.5,1.96,1.75,full_ensemble,1.17
"Indian Ocean, Western Common dolphinfish",0.55,0.8,1.17,1.22,full_ensemble,0.98
"Indian Ocean, Western Dorab wolf-herring",0.38,0.51,0.38,1.43,full_ensemble,0.54
"Indian Ocean, Western False trevally",1.28,1.4,1.81,1.6,full_ensemble,1.47
"Indian Ocean, Western Giant tiger prawn",1.05,0.69,1.41,1.23,full_ensemble,0.87
"Indian Ocean, Western Giant trevally",1.15,1.36,1.92,1.33,full_ensemble,0.98
"Indian Ocean, Western Golden trevally",0.57,0.82,1.86,1.43,full_ensemble,1.59
"Indian Ocean, Western Greater lizardfish",1.01,0.67,1.18,1.2,full_ensemble,0.8
"Indian Ocean, Western Green tiger prawn",1.16,1.25,1.98,1.84,full_ensemble,1.19
"Indian Ocean, Western Hilsa shad",1.69,0.48,0.39,1.77,full_ensemble,0.63
"Indian Ocean, Western Indian mackerel",0.5,0.84,0.92,1.52,full_ensemble,0.95
"Indian Ocean, Western Indian spiny turbot",1.14,1.01,1.97,1.61,full_ensemble,1.23
"Indian Ocean, Western Indo-Pacific king mackerel",1.06,1.14,1.94,1.66,full_ensemble,1.31
"Indian Ocean, Western Indo-Pacific sailfish",1.02,1.39,1.97,1.58,full_ensemble,1.07
"Indian Ocean, Western King soldierbream",1.01,0.84,1.74,1.45,full_ensemble,1.2
"Indian Ocean, Western Knife shrimp",0.46,0.46,1.16,1.49,full_ensemble,0.98
"Indian Ocean, Western Largehead hairtail",1.11,1.5,1.93,1.59,full_ensemble,1.27
"Indian Ocean, Western Longtail tuna",1.17,1.79,1.62,1.69,full_ensemble,1.19
"Indian Ocean, Western Mangrove red snapper",1.07,0.69,1.2,1.75,full_ensemble,0.96
"Indian Ocean, Western Narrow-barred Spanish mackerel",1.13,1.34,1.75,1.6,full_ensemble,1.26
"Indian Ocean, Western Pharaoh cuttlefish",1.04,2.6,1.27,1.06,full_ensemble,1.3
"Indian Ocean, Western Silver pomfret",0.49,0.83,1.84,1.37,full_ensemble,1.12
"Indian Ocean, Western Skipjack tuna",0.93,1.24,1.96,1.47,full_ensemble,0.75
"Indian Ocean, Western Southern bluefin tuna",0.44,0.55,1.15,1.19,full_ensemble,0.72
"Indian Ocean, Western Striped marlin",0.35,0.6,0.84,1.43,full_ensemble,0.57
"Indian Ocean, Western Swordfish",0.46,1.12,1.7,1.11,full_ensemble,0.78
"Indian Ocean, Western Torpedo scad",0.86,0.97,1.11,1.5,full_ensemble,0.98
"Indian Ocean, Western Yellowstripe scad",0.51,0.89,1.96,1.16,full_ensemble,1.04
Mediterranean and Black Sea Albacore,0.62,1.03,1.89,1.55,full_ensemble,1.05
Mediterranean and Black Sea Atlantic bonito,0.53,0.86,0.8,1.03,full_ensemble,1.1
Mediterranean and Black Sea Atlantic horse mackerel,0.55,0.78,0.82,1.4,full_ensemble,1.07
Mediterranean and Black Sea Atlantic mackerel,0.74,0.76,0.9,1.57,full_ensemble,1.14
Mediterranean and Black Sea Big-scale sand smelt,0.38,0.51,0,1.82,full_ensemble,0.62
Mediterranean and Black Sea Blue and red shrimp,0.81,0.72,1.56,1.51,full_ensemble,0.95
Mediterranean and Black Sea Blue whiting,0.37,0.53,1.66,1.12,full_ensemble,0.52
Mediterranean and Black Sea Bogue,1.31,1.17,1.67,1.48,full_ensemble,1.36
Mediterranean and Black Sea Broadtail shortfin squid,0.54,1.9,0.7,1.6,full_ensemble,1.12
Mediterranean and Black Sea Caramote prawn,1,0.89,1.67,1.53,full_ensemble,1.14
Mediterranean and Black Sea Chub mackerel,0.44,0.75,1.86,1.31,full_ensemble,0.82
Mediterranean and Black Sea Common cuttlefish,1.1,2.29,1.95,1.63,full_ensemble,1.37
Mediterranean and Black Sea Common dentex,0.49,0.62,0.84,1.45,full_ensemble,0.94
Mediterranean and Black Sea Common octopus,0.44,1.72,1.32,1.29,full_ensemble,0.9
Mediterranean and Black Sea Common pandora,1.46,1.12,1.52,1.81,full_ensemble,0.83
Mediterranean and Black Sea Common seabream,1.23,1.51,1.71,1.74,full_ensemble,1.52
Mediterranean and Black Sea Common sole,1.29,0.65,1.49,1.48,full_ensemble,1.16
Mediterranean and Black Sea Deepwater rose shrimp,1.4,0.74,1.87,1.69,full_ensemble,1.28
Mediterranean and Black Sea Dusky grouper,0.4,0.58,0.41,1.12,full_ensemble,0.88
Mediterranean and Black Sea European conger,0.96,1.77,1.73,2.04,full_ensemble,1.14
Mediterranean and Black Sea European eel,0.38,0.37,1.15,0.68,full_ensemble,1.28
Mediterranean and Black Sea European flat oyster,0.26,0.65,0.1,1.32,full_ensemble,0.53
Mediterranean and Black Sea European hake,0.55,0.7,1.53,1.48,full_ensemble,0.9
Mediterranean and Black Sea European pilchard,1.25,0.98,1.74,1.76,full_ensemble,1.73
Mediterranean and Black Sea European seabass,0.5,0.73,1.64,1.2,full_ensemble,0.82
Mediterranean and Black Sea European sprat,1.18,1.02,1.62,1.49,full_ensemble,0.81
Mediterranean and Black Sea Flathead mullet,0.5,0.74,1.87,1.79,full_ensemble,0.75
Mediterranean and Black Sea Leerfish,0.45,0.66,0.29,1.18,full_ensemble,0.67
Mediterranean and Black Sea Little tunny,1.29,1.88,1.89,1.82,full_ensemble,0.8
Mediterranean and Black Sea Mediterranean horse mackerel,0.41,0.69,0.31,1.56,full_ensemble,0.65
Mediterranean and Black Sea Mediterranean mussel,0.24,0.28,0.35,0.05,full_ensemble,0.34
Mediterranean and Black Sea Northern bluefin tuna,0.47,0.94,1.88,1.03,full_ensemble,0.91
Mediterranean and Black Sea Norway lobster,1.37,0.75,1.74,1.6,full_ensemble,1.32
Mediterranean and Black Sea Poor cod,1.04,0.67,1.89,1.53,full_ensemble,1.32
Mediterranean and Black Sea Red mullet,1.15,1.33,1.92,1.75,full_ensemble,1.32
Mediterranean and Black Sea Round sardinella,1.11,1.39,1.62,1.53,full_ensemble,0.91
Mediterranean and Black Sea Salema,1.15,1.14,1.93,1.7,full_ensemble,0.88
Mediterranean and Black Sea Silver scabbardfish,1.33,2.03,1.92,1.52,full_ensemble,1.19
Mediterranean and Black Sea So-iuy mullet,0.81,0.95,0.03,0.86,full_ensemble,1.19
Mediterranean and Black Sea Striped red mullet,1.12,1.34,1.58,1.58,full_ensemble,1.07
Mediterranean and Black Sea Swordfish,1.08,1.11,1.71,1.48,full_ensemble,0.89
Mediterranean and Black Sea Whiting,0.54,0.54,0.48,1.51,full_ensemble,1.09
Mediterranean and Black Sea Zebra seabream,0.45,0.66,1.32,1.25,full_ensemble,0.81
"Pacific, Eastern Central Albacore",1.14,0.94,1.24,1.33,full_ensemble,1.17
"Pacific, Eastern Central Atlantic blue marlin",0.44,0.74,1.38,1.53,full_ensemble,0.62
"Pacific, Eastern Central Bigeye tuna",1.24,1.08,1.73,1.49,full_ensemble,1.45
"Pacific, Eastern Central Crystal shrimp",0.5,0.53,0.53,1.57,full_ensemble,0.95
"Pacific, Eastern Central Dungeness crab",1.55,0.37,0.37,1.82,full_ensemble,0.69
"Pacific, Eastern Central Eastern Pacific bonito",1.55,1.36,0.13,1.88,full_ensemble,0.49
"Pacific, Eastern Central Indo-Pacific sailfish",0.39,0.6,0.22,1.67,full_ensemble,0.59
"Pacific, Eastern Central Jumbo flying squid",0.53,1.84,1.95,1.25,full_ensemble,1.18
"Pacific, Eastern Central North Pacific hake",0.59,0.33,1.99,1.46,full_ensemble,1.26
"Pacific, Eastern Central Pacific bluefin tuna",0.51,0.77,1.52,1.95,full_ensemble,0.9
"Pacific, Eastern Central Pacific cupped oyster",0.67,1.34,0.33,1.67,full_ensemble,1.13
"Pacific, Eastern Central Pacific jack mackerel",0.37,0.47,0.01,2.08,full_ensemble,0.61
"Pacific, Eastern Central Pacific seabob",0.43,0.56,1.19,1.32,full_ensemble,0.73
"Pacific, Eastern Central Pacific sierra",1.25,1.36,1.87,1.65,full_ensemble,1.12
"Pacific, Eastern Central Pacific thread herring",1.01,1.29,1.99,1.67,full_ensemble,1.2
"Pacific, Eastern Central Sablefish",0.47,0.94,0.32,1.68,full_ensemble,0.81
"Pacific, Eastern Central Skipjack tuna",1.35,1.66,1.82,1.76,full_ensemble,1.05
"Pacific, Eastern Central Swordfish",1.09,1.36,1.42,1.51,full_ensemble,1.12
"Pacific, Eastern Central Totoaba",0.29,0.39,1.02,0.82,full_ensemble,0.98
"Pacific, Eastern Central Yellow snapper",0.31,0.43,0.07,0.01,full_ensemble,0.36
"Pacific, Eastern Central Yellowfin tuna",1.08,0.96,1.79,1.38,full_ensemble,1.09
"Pacific, Eastern Central Yellowleg shrimp",1.27,1.23,0.87,2.15,full_ensemble,1.37
"Pacific, Northeast Albacore",1.12,1.06,1.32,1.58,full_ensemble,1.2
"Pacific, Northeast Arrowtooth flounder",1.37,1.05,1.91,1.98,full_ensemble,1.06
"Pacific, Northeast Atka mackerel",1.22,0.96,1.07,1.43,full_ensemble,1.02
"Pacific, Northeast Butter clam",0.36,1.37,0.98,1.58,full_ensemble,1.04
"Pacific, Northeast Chinook salmon",0.39,0.48,0.24,1.35,full_ensemble,0.46
"Pacific, Northeast Chum salmon",0.58,0.64,1.25,1.71,full_ensemble,0.99
"Pacific, Northeast Coho salmon",0.46,0.56,1.81,1.58,full_ensemble,0.87
"Pacific, Northeast Dungeness crab",1.08,0.72,1.86,1.52,full_ensemble,1.39
"Pacific, Northeast Lingcod",0.43,0.57,0.38,1.34,full_ensemble,0.65
"Pacific, Northeast North Pacific hake",1.1,0.75,0.98,1.11,full_ensemble,1.25
"Pacific, Northeast Pacific cod",1.05,0.84,1.64,1.46,full_ensemble,0.77
"Pacific, Northeast Pacific geoduck",1.26,3.12,1.19,1.16,full_ensemble,1.47
"Pacific, Northeast Pacific halibut",1.15,0.66,1.11,1.12,full_ensemble,0.84
"Pacific, Northeast Pacific ocean perch",0.44,0.85,1.69,1.57,full_ensemble,0.76
"Pacific, Northeast Piked dogfish",0.4,1.44,1.52,2.1,full_ensemble,0.78
"Pacific, Northeast Pink salmon",1.21,0.81,1.93,1.64,full_ensemble,1.45
"Pacific, Northeast Rock sole",1.31,0.69,1.94,1.77,full_ensemble,1.33
"Pacific, Northeast Sablefish",0.5,1.17,0.9,1.44,full_ensemble,1.05
"Pacific, Northeast Skipjack tuna",0.37,0.61,1.27,1.1,full_ensemble,0.36
"Pacific, Northeast Sockeye salmon",1.36,0.7,1.88,1.66,full_ensemble,1.23
"Pacific, Northeast Weathervane scallop",0.4,0.26,1.34,0.9,full_ensemble,1.46
"Pacific, Northeast Yellowfin sole",1.32,0.6,1.41,1.74,full_ensemble,1.33
"Pacific, Northwest Albacore",0.57,0.9,1.31,1.69,full_ensemble,0.96
"Pacific, Northwest Atlantic blue marlin",0.8,1.51,1.65,1.52,full_ensemble,0.87
"Pacific, Northwest Bartail flathead",1.21,0.7,0.66,1.72,full_ensemble,1.12
"Pacific, Northwest Bastard halibut",1.51,0.74,1.76,1.67,full_ensemble,1.17
"Pacific, Northwest Blue swimming crab",1.21,0.79,1.3,1.48,full_ensemble,1.14
"Pacific, Northwest Chinese gizzard shad",1.53,0.7,0.67,1.67,full_ensemble,0.77
"Pacific, Northwest Chinook salmon",0.32,0.45,0.12,1.99,full_ensemble,0.35
"Pacific, Northwest Chum salmon",0.56,0.78,1.93,0.41,full_ensemble,1.13
"Pacific, Northwest Common dolphinfish",0.38,0.83,1.53,0.93,full_ensemble,0.54
"Pacific, Northwest Daggertooth pike conger",1.08,2.52,1.96,1.88,full_ensemble,1.38
"Pacific, Northwest Elongate ilisha",1.09,1.03,1.85,1.54,full_ensemble,0.99
"Pacific, Northwest Flathead mullet",0.92,0.85,1.98,1.54,full_ensemble,1.3
"Pacific, Northwest Flathead sole",0.26,0.37,0.06,0.1,full_ensemble,0.46
"Pacific, Northwest Fleshy prawn",1.19,1,1.94,1.63,full_ensemble,1.41
"Pacific, Northwest Fourfinger threadfin",0.3,0.5,0.08,1.7,full_ensemble,0.55
"Pacific, Northwest Gazami crab",1.03,1.05,1.96,1.59,full_ensemble,1.14
"Pacific, Northwest Greater lizardfish",0.29,0.44,0.06,0.02,full_ensemble,0.39
"Pacific, Northwest Half-crenated ark",0.38,1.17,0.29,1.92,full_ensemble,0.8
"Pacific, Northwest Horned turban",0.5,1.21,1.56,1.24,full_ensemble,0.76
"Pacific, Northwest Imperial surf clam",0.26,1.19,0.25,0.03,full_ensemble,0.2
"Pacific, Northwest Indian scad",0.23,0.46,0.01,1.35,full_ensemble,0.6
"Pacific, Northwest Indo-Pacific sailfish",0.43,0.78,1.07,1.65,full_ensemble,0.74
"Pacific, Northwest Japanese halfbeak",0.35,0.54,0.14,1.41,full_ensemble,0.49
"Pacific, Northwest Japanese sardinella",0.24,0.54,0.09,1.45,full_ensemble,0.53
"Pacific, Northwest Japanese sea cucumber",0.37,0.67,0.28,0.2,full_ensemble,0.8
"Pacific, Northwest Japanese seaperch",1.17,0.94,1.72,1.53,full_ensemble,1.31
"Pacific, Northwest Japanese Spanish mackerel",1.07,1.57,1.58,1.61,full_ensemble,1.45
"Pacific, Northwest Korean mussel",0.43,0.3,0.17,1.98,full_ensemble,0.62
"Pacific, Northwest Kuruma prawn",0.36,0.47,0.15,1.22,full_ensemble,0.41
"Pacific, Northwest Large yellow croaker",0.46,0.57,0.35,1.52,full_ensemble,0.78
"Pacific, Northwest Longlegged spiny lobster",1.31,1.04,1.52,1.79,full_ensemble,1.06
"Pacific, Northwest Longtail tuna",0.35,0.61,0.16,1.05,full_ensemble,0.67
"Pacific, Northwest Mangrove whipray",0.45,0.87,1.88,1.68,full_ensemble,0.92
"Pacific, Northwest Melon seed",0.33,1.06,1.46,1.53,full_ensemble,1
"Pacific, Northwest Narrow-barred Spanish mackerel",0.32,0.5,0.29,0.77,full_ensemble,0.91
"Pacific, Northwest Nibe croaker",1.64,0.64,1.7,1.34,full_ensemble,0.91
"Pacific, Northwest Oilfish",0.85,2.01,1.97,2.15,full_ensemble,1.32
"Pacific, Northwest Pacific bluefin tuna",0.55,0.77,0.9,0.91,full_ensemble,1.16
"Pacific, Northwest Pacific cod",1.16,0.57,1.53,1.53,full_ensemble,0.85
"Pacific, Northwest Pacific cupped oyster",1.09,1.92,1.62,1.53,full_ensemble,1.12
"Pacific, Northwest Pacific ocean perch",0.39,0.82,1.33,1.05,full_ensemble,0.56
"Pacific, Northwest Pacific sandeel",1.08,0.89,1.43,1.49,full_ensemble,0.97
"Pacific, Northwest Red bigeye",0.32,0.43,0.12,1.7,full_ensemble,0.4
"Pacific, Northwest Red seabream",1.28,0.69,1.64,1.35,full_ensemble,1.02
"Pacific, Northwest Red-eye round herring",1.51,0.85,1.74,1.71,full_ensemble,0.97
"Pacific, Northwest Redtail prawn",0.29,0.36,0.06,0.96,full_ensemble,1.06
"Pacific, Northwest Sablefish",0.25,0.75,0,0.3,full_ensemble,0.69
"Pacific, Northwest Saffron cod",1.46,0.72,1.6,1.48,full_ensemble,1.03
"Pacific, Northwest Sailfin sandfish",0.45,0.99,0.31,1.77,full_ensemble,0.86
"Pacific, Northwest Sand Crayfish",1.7,0.83,1.97,1.94,full_ensemble,0.89
"Pacific, Northwest Shiba shrimp",0.34,0.41,0.16,1.24,full_ensemble,0.34
"Pacific, Northwest Silver pomfret",0.26,0.53,0.03,0.97,full_ensemble,0.66
"Pacific, Northwest Skipjack tuna",1.15,0.89,1.51,1.68,full_ensemble,1.03
"Pacific, Northwest Sockeye salmon",0.54,0.51,0.53,1.87,full_ensemble,1.09
"Pacific, Northwest Southern rough shrimp",1.05,0.9,1.53,1.48,full_ensemble,0.81
"Pacific, Northwest Striped marlin",0.35,0.63,0.25,1.58,full_ensemble,0.56
"Pacific, Northwest Swordfish",0.58,0.99,1.68,1.73,full_ensemble,1.01
"Pacific, Northwest Thread-sail filefish",0.26,0.42,0,1.58,full_ensemble,0.5
"Pacific, Northwest Whitespotted conger",0.58,1.37,1.34,1.49,full_ensemble,1.02
"Pacific, Northwest Yellowfin tuna",0.5,0.68,0.82,1.69,full_ensemble,1.23
"Pacific, Southeast Albacore",0.57,0.94,0.81,1.35,full_ensemble,1.19
"Pacific, Southeast Bigeye tuna",0.67,1.09,1.91,1.49,full_ensemble,0.92
"Pacific, Southeast Black cusk-eel",0.25,0.74,0.05,0.72,full_ensemble,0.69
"Pacific, Southeast Cabinza grunt",0.61,0.71,1.74,1.37,full_ensemble,1.12
"Pacific, Southeast Carrot squat lobster",0.37,0.59,1.24,1.34,full_ensemble,0.38
"Pacific, Southeast Carrot Squat Lobster",0.64,1,0.93,1.56,full_ensemble,1.13
"Pacific, Southeast Chilean mussel",0.31,0.31,0.1,1.42,full_ensemble,0.89
"Pacific, Southeast Chilean sea urchin",0.94,1.09,1.92,1.48,full_ensemble,0.93
"Pacific, Southeast Cholga mussel",0.49,0.35,0.78,1.73,full_ensemble,1.01
"Pacific, Southeast Corvina",1.6,0.61,0.81,1.71,full_ensemble,0.72
"Pacific, Southeast Elephantfish",0.45,1.05,0.41,1.55,full_ensemble,0.72
"Pacific, Southeast False abalone",0.43,0.83,0.23,1.66,full_ensemble,0.84
"Pacific, Southeast Jumbo flying squid",1.12,2.74,1.06,1.29,full_ensemble,1.35
"Pacific, Southeast Macha clam",0.39,1.44,0.19,1.08,full_ensemble,0.94
"Pacific, Southeast Pacific menhaden",0.84,0.87,0.86,1.22,full_ensemble,1.19
"Pacific, Southeast Pacific seabob",0.47,0.43,0.47,1.78,full_ensemble,0.57
"Pacific, Southeast Pacific thread herring",0.39,0.59,0.29,1.71,full_ensemble,0.58
"Pacific, Southeast Patagonian grenadier",0.42,0.42,0.93,1.34,full_ensemble,0.7
"Pacific, Southeast Patagonian squid",0.5,1.64,1.95,1.39,full_ensemble,0.97
"Pacific, Southeast Patagonian toothfish",0.43,0.88,0.97,0.8,full_ensemble,1.13
"Pacific, Southeast Peruvian banded croaker",0.32,0.49,0.09,1.55,full_ensemble,0.56
"Pacific, Southeast Peruvian calico scallop",1.4,0.58,1.82,1.84,full_ensemble,1.41
"Pacific, Southeast Peruvian rock seabass",0.39,0.54,0.84,1.73,full_ensemble,0.48
"Pacific, Southeast Peruvian weakfish",0.4,0.6,1.78,1.41,full_ensemble,1.02
"Pacific, Southeast Pink cusk-eel",0.45,1.02,0.82,1.31,full_ensemble,0.94
"Pacific, Southeast Red cusk-eel",0.43,0.82,0.21,1.9,full_ensemble,0.76
"Pacific, Southeast Red sea squirt",0.35,0.71,0.18,1.54,full_ensemble,0.61
"Pacific, Southeast Silverside",0.46,0.72,1.95,1.13,full_ensemble,1.05
"Pacific, Southeast Skipjack tuna",0.71,1.46,1.8,1.62,full_ensemble,1.25
"Pacific, Southeast Softshell red crab",0.46,0.79,1.77,1.27,full_ensemble,1.09
"Pacific, Southeast Southern blue whiting",1.1,0.76,1.85,1.54,full_ensemble,1.36
"Pacific, Southeast Southern hake",0.5,0.46,1.7,1.45,full_ensemble,0.75
"Pacific, Southeast Swordfish",1.09,1.23,0.8,1.67,full_ensemble,1.19
"Pacific, Southeast Taca clam",0.5,1.77,0.38,1.81,full_ensemble,0.93
"Pacific, Southeast Tadpole codling",0.43,0.4,1.98,1.51,full_ensemble,0.96
"Pacific, Southeast Western white shrimp",0.44,0.48,0.67,1.57,full_ensemble,0.74
"Pacific, Southeast Whiteleg shrimp",0.27,0.43,0.02,1.82,full_ensemble,0.47
"Pacific, Southeast Yellowfin tuna",0.48,0.91,1.97,1.39,full_ensemble,1.08
"Pacific, Southwest Albacore",0.4,0.65,1.85,1.26,full_ensemble,1.14
"Pacific, Southwest Antarctic butterfish",1.1,1.65,1.32,1.46,full_ensemble,1.24
"Pacific, Southwest Bigeye tuna",0.42,0.61,0.26,1.79,full_ensemble,0.53
"Pacific, Southwest Blue cod",0.58,0.53,1.93,1.64,full_ensemble,1.15
"Pacific, Southwest Blue grenadier",0.44,0.49,1.13,0.92,full_ensemble,0.85
"Pacific, Southwest Blue mackerel",0.58,0.92,1.21,1.14,full_ensemble,1.08
"Pacific, Southwest Bluefin gurnard",0.65,1.2,1.59,1.48,full_ensemble,0.9
"Pacific, Southwest Bulls-eye",0.3,1.02,1.4,1.18,full_ensemble,0.83
"Pacific, Southwest Common warehou",0.97,1.28,1.15,1.38,full_ensemble,1
"Pacific, Southwest Dark ghost shark",1.01,1.51,1.74,1.54,full_ensemble,1.17
"Pacific, Southwest Giant stargazer",0.66,1.1,1.4,1.42,full_ensemble,0.99
"Pacific, Southwest Hapuka",0.95,1.6,1.6,1.54,full_ensemble,1.03
"Pacific, Southwest John dory",0.53,1.51,1.47,1.28,full_ensemble,1.27
"Pacific, Southwest New Zealand dredge oyster",0.29,0.65,0.04,2.14,full_ensemble,0.66
"Pacific, Southwest New Zealand scallop",0.29,0.3,0.12,1.18,full_ensemble,0.96
"Pacific, Southwest Orange roughy",0.32,0.88,0.29,0.83,full_ensemble,0.78
"Pacific, Southwest Piked dogfish",0.86,1.23,0.86,1.68,full_ensemble,1.11
"Pacific, Southwest Pink cusk-eel",0.91,1.66,1.96,1.34,full_ensemble,1
"Pacific, Southwest Red codling",0.46,0.51,0.52,1.24,full_ensemble,0.78
"Pacific, Southwest Red rock lobster",0.45,0.4,0.41,1.64,full_ensemble,0.48
"Pacific, Southwest Red seabream",0.48,0.64,0.8,1.22,full_ensemble,1.03
"Pacific, Southwest Silver gemfish",0.34,0.85,0.78,0.83,full_ensemble,1.01
"Pacific, Southwest Silver scabbardfish",0.49,1.25,1.2,1,full_ensemble,1.01
"Pacific, Southwest Silver warehou",0.92,1.84,1.98,1.59,full_ensemble,1.24
"Pacific, Southwest Skipjack tuna",1.26,0.89,1.41,1.28,full_ensemble,1.17
"Pacific, Southwest Southern blue whiting",0.54,0.48,1.7,1.53,full_ensemble,0.92
"Pacific, Southwest Southern bluefin tuna",0.38,0.53,0.76,0.96,full_ensemble,0.67
"Pacific, Southwest Southern hake",0.54,0.54,0.97,0.96,full_ensemble,1.36
"Pacific, Southwest Spotted estuary smooth-hound",0.44,1.16,1.33,1.3,full_ensemble,1.01
"Pacific, Southwest Swordfish",0.78,1.4,1.93,1.77,full_ensemble,1.4
"Pacific, Southwest Tarakihi",0.58,1.1,1.59,1.5,full_ensemble,0.79
"Pacific, Southwest Tope shark",0.93,1.59,1.53,1.93,full_ensemble,1.19
"Pacific, Southwest Wellington flying squid",0.58,2.07,1,1.23,full_ensemble,1.35
"Pacific, Southwest White trevally",1.3,0.85,1.09,1.19,full_ensemble,1.11
"Pacific, Southwest White warehou",1.07,1.36,1.3,1.48,full_ensemble,1.13
"Pacific, Southwest Yellowfin tuna",0.32,0.54,0.24,1.55,full_ensemble,0.52
"Pacific, Western Central Albacore",1.17,1.89,1.6,1.69,full_ensemble,1.23
"Pacific, Western Central Bali sardinella",1.23,1.04,1.57,1.68,full_ensemble,1.17
"Pacific, Western Central Banana prawn",1.09,0.99,1.53,1.59,full_ensemble,1
"Pacific, Western Central Bigeye scad",1.14,1.51,1.97,1.83,full_ensemble,1.23
"Pacific, Western Central Bigeye tuna",1.17,1.5,1.93,1.77,full_ensemble,1.25
"Pacific, Western Central Black pomfret",1.01,1.39,1.55,1.85,full_ensemble,1.1
"Pacific, Western Central Blood cockle",0.56,2.05,1.87,1.34,full_ensemble,1.24
"Pacific, Western Central Blue swimming crab",1.07,0.89,1.38,1.33,full_ensemble,1.07
"Pacific, Western Central Chacunda gizzard shad",1.41,1.23,1.64,1.92,full_ensemble,1.16
"Pacific, Western Central Chocolate hind",1.23,1.09,0.59,1.92,full_ensemble,1.23
"Pacific, Western Central Chub mackerel",0.52,0.67,1.56,1.63,full_ensemble,0.89
"Pacific, Western Central Cobia",1.27,1.3,1.88,1.59,full_ensemble,1.12
