stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Atlantic, Northeast Blackspot seabream",0.41,0.48,0.07,1.66,full_ensemble,0.6
"Atlantic, Northeast Blue ling",0.48,0.48,1.27,1.45,full_ensemble,0.91
"Atlantic, Northeast Blue mussel",0.4,0.38,1.86,0.97,full_ensemble,1.43
"Atlantic, Northeast Blue shark",1.01,1.79,1.17,3.1,full_ensemble,1.32
"Atlantic, Northeast Bogue",0.5,0.52,1.88,1.68,full_ensemble,0.82
"Atlantic, Northeast Brill",1.27,0.77,1.77,1.67,full_ensemble,1.47
"Atlantic, Northeast Chub mackerel",1.26,0.91,0.73,1.71,full_ensemble,0.99
"Atlantic, Northeast Common cuttlefish",1.47,3.44,0.64,1.96,full_ensemble,1.45
"Atlantic, Northeast Common shrimp",1.46,0.58,0.77,1.8,full_ensemble,0.83
"Atlantic, Northeast Common sole",1.19,0.67,1.8,1.43,full_ensemble,1.38
"Atlantic, Northeast Dab",1.08,0.67,1.72,1.34,full_ensemble,0.76
"Atlantic, Northeast Deepwater redfish",0.93,1.24,1.04,2.86,full_ensemble,1.2
"Atlantic, Northeast Dog cockle",0.98,2.06,1.93,1.29,full_ensemble,1.11
"Atlantic, Northeast Edible crab",1.19,0.87,1.92,1.78,full_ensemble,1.43
"Atlantic, Northeast European conger",0.95,2.39,1.54,1.57,full_ensemble,1.18
"Atlantic, Northeast European eel",0.42,0.39,1.16,0.79,full_ensemble,0.96
"Atlantic, Northeast European flat oyster",0.59,0.96,1.88,1.58,full_ensemble,1.27
"Atlantic, Northeast European hake",0.48,0.45,1.71,1.82,full_ensemble,0.74
"Atlantic, Northeast European lobster",1.41,1.12,1.48,1.98,full_ensemble,1.04
"Atlantic, Northeast European pilchard",0.5,0.71,1.31,1.72,full_ensemble,0.82
"Atlantic, Northeast European seabass",1.08,1.34,1.95,1.6,full_ensemble,1.18
"Atlantic, Northeast European smelt",0.44,0.46,0.41,1.38,full_ensemble,0.56
"Atlantic, Northeast European whitefish",0.47,0.58,1.6,1.75,full_ensemble,0.77
"Atlantic, Northeast Flounder",1.16,1,1.87,1.73,full_ensemble,1.23
"Atlantic, Northeast Great Atlantic scallop",1.18,0.86,1.66,1.82,full_ensemble,0.93
"Atlantic, Northeast Greenland halibut",0.53,0.47,1.4,1.09,full_ensemble,0.91
"Atlantic, Northeast Grooved carpet shell",0.33,1.36,1.87,1.55,full_ensemble,1.21
"Atlantic, Northeast Iceland scallop",0.24,0.23,0,0.01,full_ensemble,0.29
"Atlantic, Northeast John dory",1.2,2.25,1.21,1.41,full_ensemble,1.35
"Atlantic, Northeast Large-eye dentex",1.12,0.6,1.58,1.59,full_ensemble,1.22
"Atlantic, Northeast Leafscale gulper shark",0.2,0.71,1.15,0.37,full_ensemble,0.81
"Atlantic, Northeast Lemon sole",1.27,0.88,1.89,1.67,full_ensemble,1.25
"Atlantic, Northeast Ling",0.52,0.59,1.06,1.3,full_ensemble,0.81
"Atlantic, Northeast Lumpsucker",1.13,1.38,1.43,1.33,full_ensemble,1.07
"Atlantic, Northeast Megrim",1.22,0.73,1.57,1.44,full_ensemble,0.98
"Atlantic, Northeast Navaga",0.3,0.34,0.08,1.77,full_ensemble,0.74
"Atlantic, Northeast Northern bluefin tuna",0.44,0.58,1.61,1.59,full_ensemble,0.72
"Atlantic, Northeast Northern prawn",0.4,0.48,0.38,1.13,full_ensemble,0.62
"Atlantic, Northeast Norway lobster",1.24,1.05,1.62,1.49,full_ensemble,1.21
"Atlantic, Northeast Norway redfish",0.98,1.66,1.22,1.98,full_ensemble,1.26
"Atlantic, Northeast Orange roughy",0.2,0.74,0.65,0.47,full_ensemble,0.9
"Atlantic, Northeast Piked dogfish",0.39,0.77,0.05,0.4,full_ensemble,1.16
"Atlantic, Northeast Pollack",1.17,0.62,1.58,1.65,full_ensemble,0.87
"Atlantic, Northeast Porbeagle",0.42,0.81,0.48,1.33,full_ensemble,0.77
"Atlantic, Northeast Portuguese dogfish",0.28,0.78,0.17,0.34,full_ensemble,0.77
"Atlantic, Northeast Pouting",0.53,0.55,1.38,1.21,full_ensemble,0.79
"Atlantic, Northeast Pullet carpet shell",0.49,1.26,0.77,1.18,full_ensemble,1
"Atlantic, Northeast Red gurnard",0.99,1.45,1.97,1.11,full_ensemble,1.04
"Atlantic, Northeast Roundnose grenadier",0.38,0.43,1.41,0.99,full_ensemble,0.67
"Atlantic, Northeast Silver scabbardfish",0.36,0.9,0.1,1.75,full_ensemble,0.79
"Atlantic, Northeast Skipjack tuna",1.28,1.03,1.9,1.77,full_ensemble,1.22
"Atlantic, Northeast Smallspotted catshark",1.17,1.5,1.44,1.62,full_ensemble,1.26
"Atlantic, Northeast Spinous spider crab",1.2,0.53,1.65,1.56,full_ensemble,0.9
"Atlantic, Northeast Spotted wolffish",1.29,2.18,0.78,1.52,full_ensemble,1.68
"Atlantic, Northeast Striped red mullet",0.99,1.06,1.97,1.65,full_ensemble,1.29
"Atlantic, Northeast Swordfish",0.44,0.74,0.63,1.57,full_ensemble,0.69
"Atlantic, Northeast Thornback ray",1.56,1.59,1.26,1.81,full_ensemble,0.32
"Atlantic, Northeast Tusk",1.26,0.63,1.48,1.53,full_ensemble,1.04
"Atlantic, Northeast Vendace",1.3,0.6,1.33,1.2,full_ensemble,1.07
"Atlantic, Northeast Whelk",1.01,1.66,1.97,1.74,full_ensemble,1.42
"Atlantic, Northeast Whiting",0.31,0.42,0.1,1.6,full_ensemble,0.41
"Atlantic, Northeast Witch",1.05,0.73,1.9,1.58,full_ensemble,1.32
"Atlantic, Northeast Wolf-fish",0.54,1.23,1.43,1.62,full_ensemble,0.97
"Atlantic, Northwest Albacore",0.28,0.57,0.12,1.28,full_ensemble,0.49
"Atlantic, Northwest American lobster",1.29,1.08,1.93,1.94,full_ensemble,1.12
"Atlantic, Northwest American plaice",0.36,0.35,0.02,0.79,full_ensemble,1.49
"Atlantic, Northwest American sea scallop",1.15,0.67,1.93,1.56,full_ensemble,1.66
"Atlantic, Northwest American shad",0.37,0.34,0.08,1.36,full_ensemble,1.28
"Atlantic, Northwest Atlantic croaker",0.52,0.9,0.81,1.33,full_ensemble,1.14
"Atlantic, Northwest Atlantic halibut",0.48,0.45,1.41,1.48,full_ensemble,0.78
